_id,Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1287,1287,157729,2015-03-11T13:39:23,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,115336,RON,Offline,NU,NU,90919200-4,Servicii de curatare a birourilor (Rev.2)
1288,1288,157741,2015-03-11T13:40:54,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,53749,RON,Online,NU,NU,03111000-2,Seminte (Rev.2)
1289,1289,157742,2015-03-11T13:50:51,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,362000,RON,Offline,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
1290,1290,157743,2015-03-11T13:54:29,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,49391,RON,Offline,NU,NU,34351100-3,Pneuri pentru autovehicule (Rev.2)
1291,1291,157746,2015-03-11T13:56:37,Regia Autonoma de Distributie a Energiei Termice Bucuresti,RO 361218,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1446099,RON,Offline,NU,NU,44163121-4,Conducte de incalzire (Rev.2)
1292,1292,157747,2015-03-11T13:58:06,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,20496,RON,Offline,NU,NU,03111000-2,Seminte (Rev.2)
1293,1293,157751,2015-03-11T13:59:08,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1800000,RON,Online,NU,NU,09300000-2,"Electricitate, incalzire, energie solara si nucleara (Rev.2)"
1294,1294,157755,2015-03-11T14:00:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1374282.23999999999068677425384521484375,RON,Offline,NU,NU,50531100-7,Servicii de reparare si de intretinere a boilerelor (Rev.2)
1295,1295,157789,2015-03-11T14:24:51,INSTITUTUL NATIONAL CERCETARE DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA,RO 3268360,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,1122158.879999999888241291046142578125,RON,Offline,NU,DA,45214620-2,Lucrari de constructii de unitati de cercetare si experimentare (Rev.2)
1296,1296,157791,2015-03-11T14:26:35,MUNICIPIUL ORADEA,4230487.0,Bihor,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,2246159.709999999962747097015380859375,RON,Offline,NU,DA,45321000-3,Lucrari de izolare termica (Rev.2)
1297,1297,157795,2015-03-11T16:35:20,Institutul National de Cercetare Dezvoltare in Domeniul Patologiei si Stiintelor Biomedicale Victor Babes,13828251.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,570600,RON,Online,NU,DA,39714000-0,Hote de ventilare sau de reciclare (Rev.2)
1298,1298,157727,2015-03-12T01:30:00,Compania de Apa Somes S.A.,R 201217,Cluj,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,4834720,RON,Offline,DA,NU,43262000-7,Utilaje excavatoare (Rev.2)
1299,1299,157732,2015-03-12T01:30:00,SPITALUL JUDETEAN DE URGENTA PLOIESTI,2844545.0,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1236550,RON,Online,DA,NU,32354000-9,Filme (Rev.2)
1300,1300,157774,2015-03-12T01:30:00,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR OLT,4286410.0,Olt,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,329657.099999999976716935634613037109375,RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
1301,1301,157754,2015-03-12T01:30:00,ADMINISTRATIA DOMENIULUI PUBLIC SECTOR 1,4602068.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,18233280,RON,Online,DA,NU,79713000-5,Servicii de paza (Rev.2)
1302,1302,157744,2015-03-12T01:30:00,Regia Autonoma de Distributie a Energiei Termice Bucuresti,RO 361218,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,5097589.219999999739229679107666015625,RON,Offline,DA,NU,44165210-9,Conducte ascendente flexibile (Rev.2)
1303,1303,157731,2015-03-12T01:30:00,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2251700,RON,Offline,DA,NU,34110000-1,Autoturisme (Rev.2)
1304,1304,157753,2015-03-12T01:30:00,SPITALUL JUDETEAN DE URGENTA BISTRITA,4347593.0,Bistrita-Nasaud,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,3843723,RON,Offline,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
1305,1305,157784,2015-03-12T01:30:00,ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA SUD VEST OLTENIA,23788928.0,Dolj,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,1379032.26000000000931322574615478515625,RON,Offline,DA,DA,34144210-3,Vehicule de pompieri (Rev.2)
1306,1306,157738,2015-03-12T01:30:00,Unitatea Militara 01144,27367077.0,Neamt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1448164.75,RON,Offline,DA,NU,15000000-8,"Alimente, bauturi, tutun si produse conexe (Rev.2)"
1307,1307,157749,2015-03-12T01:30:00,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",9524980.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2503615.83000000007450580596923828125,RON,Online,DA,NU,15000000-8,"Alimente, bauturi, tutun si produse conexe (Rev.2)"
1308,1308,157778,2015-03-12T01:30:00,Ministerul Sanatatii Publice,4266456.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,63153937.789999999105930328369140625,RON,Offline,DA,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
1309,1309,157775,2015-03-12T01:30:00,Institutul National de Cercetare-Dezvoltare pentru Inginerie Electrica ICPE-CA Bucuresti,RO13827850,Bucuresti,Furnizare,NU,Negociere accelerata,Oferta cea mai avantajoasa d.p.d.v. economic,2025000,RON,Offline,DA,DA,31120000-3,Generatoare (Rev.2)
1310,1310,157757,2015-03-12T01:30:00,UM 0502 BUCURESTI,4204283.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,806451.609999999986030161380767822265625,RON,Offline,DA,NU,33168100-6,Endoscoape (Rev.2)
1311,1311,157745,2015-03-12T01:30:00,Universitatea de Medicina si Farmacie din Craiova,10815397.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1145161.290000000037252902984619140625,RON,Offline,DA,NU,33168100-6,Endoscoape (Rev.2)
1312,1312,157779,2015-03-12T01:30:00,Universitatea de Medicina si Farmacie din Craiova,10815397.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,828973.73999999999068677425384521484375,RON,Offline,DA,DA,38434510-4,Citometre (Rev.2)
1313,1313,157767,2015-03-12T01:30:00,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,827258.0600000000558793544769287109375,RON,Offline,DA,DA,42500000-1,Echipamente de racire si de ventilare (Rev.2)
1314,1314,157785,2015-03-12T01:30:00,MUNICIPIUL TURDA,4378930.0,Cluj,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,77755107.0999999940395355224609375,RON,Online,DA,DA,45112340-0,Lucrari de decontaminare a solului (Rev.2)
1315,1315,157726,2015-03-12T01:30:00,SC SALPITFLOR GREEN SA,27393335.0,Arges,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1170000,RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
1316,1316,157776,2015-03-12T01:30:00,"Institutul National de Cercetare Dezvoltare pentru Fizica si Inginerie Nucleara ""Horia Hulubei""",R 3321234,Ilfov,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,17700000,EUR,Offline,DA,DA,38630000-0,Instrumente optice si de astronomie (Rev.2)
1317,1317,157792,2015-03-12T01:30:00,SPITALUL CLINIC JUDETEAN DE URGENTA SF.SPIRIDON IASI,4701312.0,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1093840,RON,Offline,DA,NU,33183200-8,Proteze ortopedice (Rev.2)
1318,1318,157752,2015-03-12T01:30:00,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,6723800.08000000007450580596923828125,RON,Offline,DA,NU,43640000-1,Piese pentru excavatoare (Rev.2)
1319,1319,157740,2015-03-12T01:30:00,Spitalul Clinic de Urgenta Bucuresti,4505332.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,7214281.320000000298023223876953125,RON,Offline,DA,NU,33696000-5,Reactivi si produse de contrast (Rev.2)
1320,1320,157804,2015-03-12T10:28:51,Institutul National de Cercetare Dezvoltare pentru Mecatronica si Tehnica Masurarii-INCDMTM,RO 930,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,567600,RON,Offline,NU,DA,42610000-5,Masini-unelte actionate prin laser si centre de prelucrare (Rev.2)
1321,1321,157765,2015-03-12T13:25:24,SPITALUL JUDETEAN DE URGENTA TARGOVISTE,4206845.0,Dambovita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,308505.6799999999930150806903839111328125,RON,Offline,NU,NU,33652100-6,Antineoplazice (Rev.2)
1322,1322,157772,2015-03-12T13:30:58,U.M.0149F,4283635.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,462663.0200000000186264514923095703125,RON,Offline,NU,NU,33622800-4,Medicamente pentru sistemul renin-angiotensin (Rev.2)
1323,1323,157759,2015-03-12T13:51:07,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,208000,RON,Offline,NU,NU,42419800-4,Piese pentru transportoare (Rev.2)
1324,1324,157761,2015-03-12T13:51:38,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,835910,RON,Offline,NU,NU,44317000-5,Cabluri de legare din fier sau din otel (Rev.2)
1325,1325,157766,2015-03-12T13:52:41,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,1200,RON,Offline,NU,NU,50413200-5,Servicii de reparare si de intretinere a echipamentului de stingere a incendiilor (Rev.2)
1326,1326,157768,2015-03-12T14:01:00,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,14220,RON,Offline,NU,NU,60441000-1,Servicii de pulverizare aeriana (Rev.2)
1327,1327,157771,2015-03-12T14:02:46,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,171564,RON,Offline,NU,NU,60100000-9,Servicii de transport rutier (Rev.2)
1328,1328,157780,2015-03-12T14:04:10,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,4596140.09999999962747097015380859375,RON,Offline,NU,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
1329,1329,157782,2015-03-12T14:14:42,Regia Autonoma Administratia Patrimoniului Protocolului de Stat Bucuresti,RO 2351555,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,199226,RON,Offline,NU,NU,09100000-0,Combustibili (Rev.2)
1330,1330,157783,2015-03-12T14:18:27,ELECTROCENTRALE ORADEA S.A.,R 14790708,Bihor,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,750000,RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
1331,1331,157825,2015-03-12T14:45:06,Comuna Moftin (Primaria Moftin),3897092.0,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,318629,RON,Offline,NU,DA,16700000-2,Tractoare (Rev.2)
1332,1332,157786,2015-03-12T15:26:48,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,97446,RON,Offline,NU,NU,50112000-3,Servicii de reparare si de intretinere a automobilelor (Rev.2)
1333,1333,157787,2015-03-12T15:27:31,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,18855,RON,Offline,NU,NU,50530000-9,Servicii de reparare si de intretinere a masinilor (Rev.2)
1334,1334,157788,2015-03-12T15:27:59,AQUATIM S.A. Timisoara,RO 3041480,Timis,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1560000,RON,Online,NU,NU,34142300-7,Autobasculante (Rev.2)
1335,1335,157794,2015-03-12T15:30:37,EURO APAVOL SA,RO 27778056,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1709360,RON,Offline,NU,NU,14210000-6,"Pietris, nisip, piatra concasata si agregate (Rev.2)"
1336,1336,157797,2015-03-12T15:31:23,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,1506400,RON,Offline,NU,NU,71335000-5,Studii tehnice (Rev.2)
1337,1337,157796,2015-03-13T01:30:01,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,17090636.0,Timis,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,918418.55000000004656612873077392578125,RON,Offline,DA,NU,15131000-5,Conserve si produse din carne (Rev.2)
1338,1338,157763,2015-03-13T01:30:01,Spitalul Clinic Judetean de Urgenta Craiova,5002142.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,12718481.88000000081956386566162109375,RON,Online,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
1339,1339,157790,2015-03-13T01:30:01,"Centrul Medical De Diagnostic Si Tratament Ambulatoriu ""Dr. Nicolae Kretzulescu""",4267079.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,36216050,RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
1340,1340,157762,2015-03-13T01:30:01,SPITALUL JUDETEAN - TR. SEVERIN,4222239.0,Mehedinti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,10072525.1999999992549419403076171875,RON,Online,DA,NU,33651000-8,Antiinfectioase generale pentru uz sistemic (Rev.2)
1341,1341,157770,2015-03-13T01:30:01,SPITALUL JUDETEAN DE URGENTA VASLUI,3551942.0,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,11267609.460000000894069671630859375,RON,Online,DA,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
1342,1342,157793,2015-03-13T01:30:01,Banca Nationala a Romaniei,R 361684,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1758000,RON,Online,DA,NU,30123630-2,Masini de rulare in fisicuri a monedelor (Rev.2)
1343,1343,157769,2015-03-13T01:30:01,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,5599160,RON,Offline,DA,NU,33650000-1,"Antiinfectioase generale pentru uz sistemic, vaccinuri, antineoplazice si imunomodulatoare (Rev.2)"
1344,1344,157781,2015-03-13T01:30:01,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368.0,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,19913826.5,RON,Offline,DA,NU,45233139-3,Lucrari de intretinere a drumurilor nationale (Rev.2)
1345,1345,157821,2015-03-13T01:30:01,AGENTIA DE PLATI SI INTERVENTIE PENTRU AGRICULTURA,16517187.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,1824000,RON,Online,DA,NU,72261000-2,Servicii de asistenta pentru software (Rev.2)
1346,1346,157764,2015-03-13T01:30:01,SPITALUL JUDETEAN DE URGENTA PLOIESTI,2844545.0,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,3679750,RON,Online,DA,NU,33141114-2,Tifon medical (Rev.2)
1347,1347,157798,2015-03-13T01:30:01,SERVICIUL PUBLIC DE ASISTENTA SOCIALA TURDA,17439788.0,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,718006.5,RON,Online,DA,NU,15000000-8,"Alimente, bauturi, tutun si produse conexe (Rev.2)"
1348,1348,157777,2015-03-13T01:30:01,STATIUNEA DE CERCETARE-DEZVOLTARE AGRICOLA SIMNIC-CRAIOVA,3078896.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,811970,RON,Offline,DA,NU,16340000-0,Combine agricole (Rev.2)
1349,1349,157773,2015-03-13T01:30:01,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR OLT,4286410.0,Olt,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,2580868.0600000000558793544769287109375,RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
1350,1350,157837,2015-03-13T09:52:39,APAVIL SA VALCEA,RO 16468149,Valcea,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,44100,RON,Online,NU,DA,79212100-4,Servicii de auditare financiara (Rev.2)
1351,1351,157847,2015-03-13T09:55:02,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",4288047.0,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,25000,RON,Online,NU,DA,33112000-8,"Echipament de imagistica ecografica, cu ultrasunete si Doppler (Rev.2)"
1352,1352,157801,2015-03-13T10:55:00,Comitetul Olimpic si Sportiv Roman,13746143.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,123120,RON,Offline,NU,NU,18331000-8,Tricouri (Rev.2)
1353,1353,157812,2015-03-13T11:03:34,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Galati,3553277.0,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,131250,RON,Offline,NU,NU,33651690-1,Vaccinuri pentru uz veterinar (Rev.2)
1354,1354,157823,2015-03-13T11:22:41,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR SALAJ,4291778.0,Salaj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,215240,RON,Online,NU,NU,33651600-4,Vaccinuri (Rev.2)
1355,1355,157833,2015-03-13T11:45:28,SPITALUL JUDETEAN DE URGENTA BACAU,4278728.0,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,575960,RON,Offline,NU,NU,33696100-6,Reactivi pentru determinarea grupelor sanguine (Rev.2)
1356,1356,157802,2015-03-13T11:49:11,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,47679,RON,Online,NU,NU,44810000-1,Vopsele (Rev.2)
1357,1357,157803,2015-03-13T11:50:25,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,240912.04000000000814907252788543701171875,RON,Offline,NU,NU,43640000-1,Piese pentru excavatoare (Rev.2)
1358,1358,157806,2015-03-13T11:51:02,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1000000,RON,Offline,NU,NU,50221000-0,Servicii de reparare si de intretinere a locomotivelor (Rev.2)
1359,1359,157807,2015-03-13T11:52:03,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,242700,RON,Online,NU,NU,42131270-9,Vane de trecere (Rev.2)
1360,1360,157809,2015-03-13T11:53:54,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,73000,RON,Offline,NU,NU,30199760-5,Etichete (Rev.2)
1361,1361,157811,2015-03-13T11:55:22,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,139545,RON,Online,NU,NU,15710000-8,Furaje preparate pentru animale de ferma sau pentru alte animale (Rev.2)
1362,1362,157813,2015-03-13T11:57:39,OCOLUL SILVIC AL ORASULUI RASNOV R.A.,RO 17373721,Brasov,Furnizare,NU,Negociere,Pretul cel mai scazut,222083.26000000000931322574615478515625,RON,Offline,NU,NU,34113200-4,Vehicule pentru orice tip de teren (Rev.2)
1363,1363,157816,2015-03-13T12:00:41,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,88360.800000000002910383045673370361328125,RON,Online,NU,NU,42124000-4,"Piese pentru pompe, pentru compresoare, pentru masini sau pentru motoare (Rev.2)"
1364,1364,157817,2015-03-13T12:01:42,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,290000,RON,Offline,NU,NU,64212000-5,Servicii de telefonie mobila (Rev.2)
1365,1365,157828,2015-03-13T12:05:14,ENEL DISTRIBUTIE BANAT SA Timisoara,RO 14490379,Timis,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,11871000,RON,Offline,NU,NU,45111220-6,Lucrari de indepartare a vegetatiei (Rev.2)
1366,1366,157832,2015-03-13T12:05:54,Societatea Nationala NUCLEARELECTRICA S.A.,10874881.0,Bucuresti,Servicii,DA,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,1110950,RON,Offline,NU,NU,71242000-6,"Pregatire de proiecte si proiectare, estimare a costurilor (Rev.2)"
1367,1367,157834,2015-03-13T12:06:29,Societatea Nationala NUCLEARELECTRICA S.A.,10874881.0,Bucuresti,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,325000,EUR,Offline,NU,NU,31711100-4,Componente electronice (Rev.2)
1368,1368,157835,2015-03-13T12:07:48,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,245090.73999999999068677425384521484375,RON,Offline,NU,NU,44442000-0,Rulmenti cu role (Rev.2)
1369,1369,157836,2015-03-13T12:08:24,Compania APA Brasov,R1096128,Brasov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,447600,RON,Online,NU,NU,44163100-1,Tevi (Rev.2)
1370,1370,157831,2015-03-14T01:30:00,SPITALUL JUDETEAN - TR. SEVERIN,4222239.0,Mehedinti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1196938.5600000000558793544769287109375,RON,Online,DA,NU,33621100-0,Antitrombotice (Rev.2)
1371,1371,157822,2015-03-14T01:30:00,SERVICIUL PUBLIC DE GOSPODARIE COMUNALA,10929162.0,Arges,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,999600,RON,Offline,DA,NU,09134220-5,Motorina (EN 590) (Rev.2)
1372,1372,157819,2015-03-14T01:30:00,MUNICIPIUL SUCEAVA,4244792.0,Suceava,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,750000,RON,Offline,DA,NU,50232200-2,Servicii de intretinere a semafoarelor (Rev.2)
1373,1373,157855,2015-03-14T01:30:00,CONSILIUL JUDETEAN CONSTANTA,2981739.0,Constanta,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,10846219.77999999932944774627685546875,RON,Offline,DA,DA,34144512-0,Vehicule de compactare a deseurilor menajere (Rev.2)
1374,1374,157853,2015-03-14T01:30:00,AGENTIA NATIONALA PENTRU OCUPAREA FORTEI DE MUNCA,11370190.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,2018500,RON,Offline,DA,DA,79341000-6,Servicii de publicitate (Rev.2)
1375,1375,157858,2015-03-14T01:30:00,MUNICIPIUL BUCURESTI,4267117.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,971774.1899999999441206455230712890625,RON,Offline,DA,NU,34100000-8,Autovehicule (Rev.2)
1376,1376,157810,2015-03-14T01:30:00,OMV PETROM S.A,RO 1590082,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1596000,RON,Offline,DA,NU,14410000-8,Sare gema (Rev.2)
1377,1377,157824,2015-03-14T01:30:00,ADMINISTRATIA NATIONALA A REZERVELOR DE STAT SI PROBLEME SPECIALE,26288978.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1140258.6000000000931322574615478515625,RON,Online,DA,NU,09132100-4,Benzina fara plumb (Rev.2)
1378,1378,157830,2015-03-14T01:30:00,SPITALUL JUDETEAN DE URGENTA BACAU,4278728.0,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1589213.19999999995343387126922607421875,RON,Offline,DA,NU,33141125-2,Material pentru suturi chirurgicale (Rev.2)
1379,1379,157826,2015-03-14T01:30:00,E-ON DISTRIBUTIE ROMANIA S.A.,RO10976687,Mures,Furnizare,DA,Negociere,Pretul cel mai scazut,24137034,RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
1380,1380,157841,2015-03-14T01:30:00,JUDETUL  VRANCEA(CONSILIUL JUDETEAN),4350394.0,Vrancea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,7999161,RON,Offline,DA,DA,34928480-6,Containere si pubele de deseuri (Rev.2)
1381,1381,157799,2015-03-14T01:30:00,SPITALUL JUDETEAN DE URGENTA BACAU,4278728.0,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1425600,RON,Offline,DA,NU,15112130-6,Carne de pui (Rev.2)
1382,1382,157800,2015-03-14T01:30:00,SPITALUL JUDETEAN DE URGENTA BACAU,4278728.0,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1491680,RON,Offline,DA,NU,18424300-0,Manusi de unica folosinta (Rev.2)
1383,1383,157827,2015-03-14T01:30:00,"SPITALUL JUDETEAN DE URGENTA""SFANTUL IOAN CEL NOU""SUCEAVA",4243983.0,Suceava,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,621600,RON,Online,DA,NU,24111900-4,Oxigen (Rev.2)
